url,title,location,latitude,longitude,price,description,property_type,available_date,photo_count,first_photo_url,all_photos,contact_info,management_company,amenities,age,ages,any_pets,available,balcony_roof_terrace,bills_included,broadband_included,couples_allowed,deposit,deposit(room_1),deposit(room_2),deposit(room_3),deposit(room_4),disabled_access,furnishings,garage,garden_patio,gender,living_room,max_age,maximum_term,min_age,minimum_term,"number
________
________
__________housemates","number
________flatmates",occupation,parking,pets_allowed,price_pcm,references,room_type,smalloweding_allowed,smoker,total_number_rooms,vegetarian/vegan
https://www.spareroom.co.uk/flatshare/london/hornsey/17913185?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,2 Rooms In The Same Flat With Garden,Hornsey,51.5897067,-0.1196971,980,Flat shareHornseyN8Area infoView on map980 pcmdouble840 pcmdoubleAvailabilityAvailableNowMinimum term6 monthsMaximum termNoneExtra costDeposit(Room 1)980.00Deposit(Room 2)840.00Bills included?YesAmenitiesFurnishingsFurnishedGarden/patioYesDisabled accessLiving roomNoBroadband includedYesCurrent ...,Room,now,17,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/00/97006884.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/00/97006884.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006902.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006915.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006918.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006923.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006925.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006926.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006928.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006936.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006945.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006950.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006952.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006959.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006961.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006966.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006968.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/40/34/40347841.jpg",Free tocontact,iFlatShare,"Garden, Bills Included, Furnished",,28 to 38,No,Now,,Yes,Yes,Yes,,980,840,,,,Furnished,,Yes,"1 Female, 2 Males",No,60,None,18,6 months,,3,Available to all,,No,980 pcm,,double,Yes,No,4,
https://www.spareroom.co.uk/flatshare/london/hackney/17913121?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,2 Rooms In The Same House With Garden & Gym,Hackney,51.5546285,-0.0412553,"1,040","House shareHackneyE5Area infoView on map1,040 pcm(NOW LET)1,040 pcmdoubleAvailabilityAvailableNowMinimum term3 monthsMaximum termNoneShort lets consideredExtra costDeposit1,040.00Bills included?YesAmenitiesFurnishingsFurnishedGarden/patioYesDisabled accessLiving roomsharedBroadband includedYesCur...",Room,now,17,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/00/97006364.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/00/97006364.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006366.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006368.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006369.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006371.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006387.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006391.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006392.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006393.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006397.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006423.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006424.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006426.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006436.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006439.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97006502.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/40/34/40347841.jpg",Free tocontact,iFlatShare,"Garden, Bills Included, Furnished",,,Yes,Now,,Yes,Yes,No,"1,040.00",,,,,,Furnished,,Yes,2 Males,shared,50,None,18,3 months,2,,Available to all,,No,"1,040 pcm",,(NOW LET),Yes,No,3,
https://www.spareroom.co.uk/flatshare/london/hackney/17885560?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,Cosy Room In A Great Location,Hackney,51.5400973,-0.0553772,790,"Flat shareHackneyE8Area infoView on map790 pcmdoubleAvailabilityAvailableNowMinimum term3 monthsMaximum termNoneShort lets consideredExtra costDeposit790.00Bills included?YesAmenitiesFurnishingsFurnishedBalcony/roof terraceYesDisabled accessLiving roomNoBroadband includedYesCurrent household#
    ...",Room,now,7,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/77/96778820.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/77/96778820.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/77/96778826.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/77/96778831.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/77/96778858.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/77/96778860.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/77/96778862.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/40/34/40347841.jpg",Free tocontact,iFlatShare,"Balcony, Bills Included, Furnished",,30 to 35,No,Now,Yes,Yes,Yes,No,790,,,,,,Furnished,,,2 Males,No,60,None,18,3 months,,2,Available to all,,No,790 pcm,,double,Yes,No,3,
https://www.spareroom.co.uk/flatshare/london/hackney/17913068?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"2 Rooms Available In The Same Flat, Next To River!",Hackney,51.5530376,-0.0332311,885,"Flat shareHackneyE9Area infoView on map885 pcmdouble845 pcm(NOW LET)AvailabilityAvailableNowMinimum term6 monthsMaximum termNoneExtra costDeposit885.00Bills included?YesAmenitiesFurnishingsFurnishedBalcony/roof terraceYesDisabled accessLiving roomNoBroadband includedYesCurrent household#
        ...",Room,now,12,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/00/97005918.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/00/97005918.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005949.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005937.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005930.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005964.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005967.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005972.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005969.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005974.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005982.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005992.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/40/34/40347841.jpg",Free tocontact,iFlatShare,"Balcony, Bills Included, Furnished",,25 to 35,No,Now,Yes,Yes,Yes,Yes,885,,,,,,Furnished,,,"1 Female, 2 Males",No,60,None,18,6 months,,3,Available to all,,No,885 pcm,,double,No,No,4,
https://www.spareroom.co.uk/flatshare/london/turnham_green/17921524,üåø Bright Double Room in Chiswick,Turnham Green,51.4981576,-0.261678,950,House shareTurnham GreenW4Area infoTurnham Green StationTube map5-10 minutes walk awayView on map950 pcmdoubleAvailabilityAvailable18 Aug 2025Minimum term11 monthsMaximum termNoneExtra costDeposit950.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioYesBalcony/roof terr...,Room,N/A,10,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/07/97075218.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/07/97075218.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/07/97075222.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/07/97075219.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/07/97075220.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/07/97075221.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/07/97075223.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/07/97075224.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/07/97075225.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/94/37/94373487.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png",Free tocontact,AK&PROPERTIES,"Parking, Garden, Balcony, Bills Included, Furnished",,23 to 34,No,18-Aug-25,No,Yes,Yes,No,950,,,,,No,Furnished,No,Yes,"1 Female, 4 Males",shared,,None,,11 months,5,,Available to all,No,No,950 pcm,Yes,double,Yes,No,6,
https://www.spareroom.co.uk/flatshare/london/tooting_broadway/17778365,ú® Stunning Double Room in Tooting Broadway,Tooting Broadway,51.4291828,-0.1636683,850,House shareTooting BroadwaySW17Area infoView on map850 pcmdouble860 pcm(NOW LET)900 pcm(NOW LET)AvailabilityAvailableNowMinimum term4 monthsMaximum termNoneShort lets consideredExtra costDeposit850.00Bills included?YesAmenitiesFurnishingsFurnishedParkingYesGarageNoGarden/patioYesBalcony/roof ter...,Room,now,8,https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/04/97044112.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/04/97044112.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/04/97044111.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/87/95873961.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/87/95873962.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/87/95873884.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/87/95873919.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/04/97044110.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/94/37/94373487.jpg",Free tocontact,AK&PROPERTIES,"Parking, Garden, Balcony, Bills Included, Furnished",,22 to 29,No,Now,No,Yes,Yes,No,850,,,,,No,Furnished,No,Yes,"1 Female, 1 Male",No,,None,,4 months,2,,Available to all,Yes,No,850 pcm,Yes,double,Yes,No,5,
https://www.spareroom.co.uk/flatshare/london/tooting_broadway/17922764,üè° Bright Double Room next to St George's Hospital,Tooting Broadway,51.4331633,-0.1801834,880,House shareTooting BroadwaySW17Area infoTooting Broadway StationTube map5-10 minutes walk awayView on map880 pcmdouble950 pcmdoubleAvailabilityAvailableNowMinimum termNoneMaximum termNoneExtra costDeposit(Room 1)880.00Deposit(Room 2)950.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoG...,Room,now,8,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/08/97084889.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/08/97084889.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/08/97084888.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/08/97084885.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/08/97084887.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/08/97084884.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/08/97084886.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/94/37/94373487.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png",Free tocontact,AK&PROPERTIES,"Parking, Bills Included, Furnished",,22 to 29,No,Now,No,Yes,Yes,No,,880,950,,,No,Furnished,No,Yes,4 Males,shared,,None,,None,4,,Available to all,No,No,880 pcm,Yes,double,Yes,No,5,
https://www.spareroom.co.uk/flatshare/london/honor_oak_park/17373699?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,üî•Cosy Double room Available from September üî•,Honor Oak Park,51.4495241,-0.0435997,930,Flat shareHonor Oak ParkSE23Area infoHonor Oak Park StationTube map0-5 minutes walk awayView on map930 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term7 monthsMaximum termNoneExtra costDeposit930.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioNoBalcony/roof terr...,Room,N/A,9,https://photos2.spareroom.co.uk/images/flatshare/listings/large/92/55/92559238.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/92/55/92559238.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/92/55/92559239.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/92/55/92559241.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/92/55/92559242.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/92/55/92559265.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/92/55/92559266.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/LDNOG_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png",Free tocontact,Banksia Limited,"Parking, Garden, Balcony, Bills Included, Furnished",,,No,1-Sep-25,No,Yes,Yes,No,930,,,,,No,Furnished,No,No,3 Males,No,39,None,18,7 months,,3,Available to all,No,No,930 pcm,Yes,double,No,No,4,
https://www.spareroom.co.uk/flatshare/london/all_saints/17876256?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,üî• Stylish Room near All Saints in Septemberüî•,All Saints,51.5119828,-0.0180807,850,Flat shareAll SaintsE14Area infoView on map850 pcmdouble980 pcm(NOW LET)880 pcm(NOW LET)AvailabilityAvailableNowMinimum term7 monthsMaximum termNoneExtra costDeposit850.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioNoBalcony/roof terraceNoDisabled accessNoLiving r...,Room,now,6,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/98/96983470.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/98/96983470.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/98/96983472.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/98/96983471.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/98/96983476.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/98/96983473.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg",Free tocontact,Banksia Limited,"Parking, Garden, Balcony, Bills Included, Furnished",,,No,Now,No,Yes,Yes,No,850,,,,,No,Furnished,No,No,Male,No,39,None,18,7 months,,1,Available to all,No,No,850 pcm,Yes,double,No,No,4,
https://www.spareroom.co.uk/flatshare/london/poplar/16767855?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,üè°ú® Cosy Ensuite Room in Poplar from September üåü,Poplar,51.51744862,-0.013796285,"1,100","Flat sharePoplarE14Area infoLangdon Park StationTube map0-5 minutes walk awayView on map1,100 pcmdouble En suiteAvailabilityAvailable01 Sep 2025Minimum term7 monthsMaximum termNoneExtra costDeposit1,100.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioNoBalcony/roof te...",Room,N/A,6,https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/20/88205584.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/20/88205584.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/20/88205585.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/20/88205586.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/20/88205587.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/DLR_14x11.png",Free tocontact,Banksia Limited,"Parking, Garden, Balcony, Ensuite, Bills Included, Furnished",,19 to 27,No,1-Sep-25,No,Yes,Yes,Yes,"1,100.00",,,,,No,Furnished,No,No,"2 Females, 1 Male",shared,39,None,18,7 months,,3,Available to all,No,No,"1,100 pcm",Yes,double En suite,Yes,No,4,
https://www.spareroom.co.uk/flatshare/london/poplar/17781230?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,üè° Stylish Ensuite Room in Poplar From Septemberüî•,Poplar,51.5175039,-0.0137905,"1,100","Flat sharePoplarE14Area infoLangdon Park StationTube map0-5 minutes walk awayView on map1,100 pcmdouble En suiteAvailabilityAvailable01 Sep 2025Minimum term7 monthsMaximum termNoneExtra costDeposit1,100.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioNoBalcony/roof te...",Room,N/A,9,https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/89/95898367.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/89/95898367.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/89/95898364.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/89/95898365.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/89/95898363.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/89/95898366.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/89/95898362.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/89/95898382.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/DLR_14x11.png",Free tocontact,Banksia Limited,"Parking, Garden, Balcony, Ensuite, Bills Included, Furnished",,24 to 30,No,1-Sep-25,No,Yes,Yes,Yes,"1,100.00",,,,,No,Furnished,No,No,"1 Female, 1 Male",No,39,None,18,7 months,,2,Available to all,No,No,"1,100 pcm",Yes,double En suite,Yes,No,2,
https://www.spareroom.co.uk/flatshare/london/stepney_green/17919701?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,üí• Stunning 2 Rooms In Stepney Green September üí•,Stepney Green,51.5193319,-0.045538,"1,100","House shareStepney GreenE1Area infoView on map1,100 pcmdouble1,050 pcmdouble1,050 pcm(NOW LET)AvailabilityAvailable01 Sep 2025Minimum term7 monthsMaximum termNoneExtra costDeposit(Room 1)1,100.00Deposit(Room 2)1,050.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioY...",Room,now,12,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/06/97060490.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/06/97060490.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060491.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060492.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060493.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060495.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060494.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060486.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060484.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060487.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060485.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060489.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg",Free tocontact,Banksia Limited,"Parking, Garden, Bills Included, Furnished",,,No,1-Sep-25,No,Yes,Yes,No,,"1,100.00","1,050.00",,,No,Furnished,No,Yes,Male,No,39,None,18,7 months,1,,Available to all,No,No,"1,100 pcm",Yes,double,Yes,No,4,
https://www.spareroom.co.uk/flatshare/london/finchley_road/17913778?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"üéá Bright & Cozy Room in Finchley, Septemberú®",Finchley Road,51.5447242,-0.1765577,"1,100","Flat shareFinchley RoadNW3Area infoWest Hampstead StationTube map0-5 minutes walk awayView on map1,100 pcm(NOW LET)900 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term7 monthsMaximum termNoneExtra costDeposit900.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioNo...",Room,now,9,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/05/97056871.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/05/97056871.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97056872.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/05/97056870.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97012132.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97012130.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97012134.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/LDNOG_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png",Free tocontact,N/A,"Parking, Garden, Bills Included, Furnished",,,No,1-Sep-25,No,Yes,Yes,No,900,,,,,No,Furnished,No,No,Male,shared,39,None,18,7 months,,1,Available to all,No,No,"1,100 pcm",Yes,(NOW LET),Yes,No,4,
